TARGET,OEXP,POLARITY
Staff,helpfull,Positive
it,felt very cramped,Negative
it,for a couple may feel crowded,Negative
hotel,budget,Positive
hotel,nice,Positive
it,very tiny,StrongNegative
,Smart,Positive
,simple,Positive
hotel,near La Rambla and Montjuic,Positive
hotel,budget,Positive
hotel,modern,Positive
acommodation,according to the price,Positive
,noise,Negative
,bad,Negative
,tiny,StrongNegative
,A lot of noise,StrongNegative
accomodation,very cheap,StrongPositive
accomodation,can be considered if you can cope with the noise,Positive
furniture,old,Negative
room,small,Negative
room,dark,Negative
price,incredibly cheap,StrongPositive
hotel,incredibly cheap,StrongPositive
the hotel,"provides a prefect "" base camp """,Positive
the hotel,located verz close to the city center,Positive
internet,very fast,StrongPositive
internet,reliable,Positive
restaurant,nice,Positive
place,quiet,Positive
mashrooms,very good,StrongPositive
Sausages,very good,StrongPositive
bussiness choice,cheap,Positive
bussiness choice,Good,Positive
food,very good,StrongPositive
Receptionists,helping in any request of support,Positive
Receptionists,very helpful,StrongPositive
hotel,next to Trafford Shopping Center,Positive
hotel,very good,StrongPositive
hotel,quite cheap,Positive
,keep coming back,Positive
food,good,Positive
the entertainment,do a fantastic job,Positive
the entertainment,work really hard,Positive
the hotel,a fun place to be,Positive
,keep coming back,Positive
the hotel,dated,Negative
the staff,great,StrongPositive
setting,beautiful,Positive
setting,by the sea,Positive
The food,interesting,Positive
The food,Greek dishes with a general European twist,Positive
The food,well presented,Positive
The technology provided,worked fine,Positive
skype,worked fine,Positive
facilities,very good,StrongPositive
the coffee machine,fabulous,StrongPositive
,warmly welcomed by all the staff,Positive
,supported our needs throughout the visit,Positive
The meeting room,very well serviced,StrongPositive
all conditions for your pleasure,There are,Positive
The personnel,excellent,StrongPositive
hotel,great,StrongPositive
lot of restaurants,There are,Positive
bars,There are,Positive
This place,one of the best for vacation,Positive
The hotel,lovely furnished,Positive
Bar staff,friendly,Positive
Breakfast,tasteful,Positive
Breakfast,basic,Negative
shopping mall,great,StrongPositive
shopping mall,just around the corner,Positive
other NN hotels,prefer,Negative
3 complaints,had,Negative
Some restaurants,outside the hotel,Positive
Some restaurants,nice,Positive
Some restaurants,good rated,Positive
The reception staff,not very well English educated,Negative
spot,nice,Positive
public transport,all around,Positive
hotel,Trendy,Positive
The hotel,located on a good spot,Positive
place,had a nice stay,Positive
place,nice,Positive
to get to the hotel with a car,extremely difficult,StrongNegative
odor,Extremely unpleasant,StrongNegative
parking,No,Negative
breakfast,almost expired date of the food,Negative
breakfast,Very poor,StrongNegative
this hotel,don 't recommend,Negative
bathroom,Very small,StrongNegative
room,Very small,StrongNegative
,"Over 40 Euros for a pizza , burger and two drinks",Negative
The room,adequate,Positive
The food,expensive,Negative
The food,came quickly,Positive
The food,hot,Positive
The food,tasty,Positive
The food,very expensive,StrongNegative
transport connections,superb,StrongPositive
the room,only cost 75 Euros,Positive
It,situated in Frankfurt Flughaven railway station,Positive
The check in,efficient,Positive
The check in,quick,Positive
location,Perfect,StrongPositive
location,allows to visit all interested places in Barcelona,Positive
easy access to hop & hop bus tour,have,Positive
coach to the airport and Corte d 'Ingles,have,Positive
linen,very clean,StrongPositive
breakfast,expensive option,Negative
Hotel interior,very modern,StrongPositive
Hotel interior,elegant,Positive
the bed,very comfortable,StrongPositive
Our room,very small,StrongNegative
,Definitely can be highly recommended,StrongPositive
,Ancient charme outside,Positive
,very modern inside,Positive
place,Great,StrongPositive
Room,clean,Positive
Room,bit on the small side,Negative
bar,There is,Positive
bar,lovely,Positive
staff,friendly,Positive
staff,very helpfull,StrongPositive
staff,nice,Positive
value for money,good,Positive
location,central,Positive
location,Great,StrongPositive
,well connected,Positive
,Well positioned for city sightseeing,Positive
,easy access to airport with metro,Positive
the apartments,can be rented per night,Positive
The staff,takes no responsibility,Negative
it,"attrackts back packing , party focused youngsters",Negative
They,don 't refund,Negative
this place,Don 't go,Negative
this place,avoid,Negative
these apartments,don 't go,Negative
these apartments,may look great,Negative
Cold drinks,replinished daily,Positive
a waiter on hand,there was always,Positive
24 hr bar,well run,Positive
,Really enjoyed !,StrongPositive
hotel,beautiful,Positive
The Room,cleaned daily to a high standard,StrongPositive
breakfast,no,Negative
sheets,short,Negative
sheets,with holes,Negative
beds,Unconfortable,Negative
a new roll,haven 't found,Negative
phone,No,Negative
The drain of our shower,needed to be unclog,Negative
moquette,with stains,Negative
pillows,little,Negative
this Hotel,only if you haven 't other choises !,Negative
,must pay at check in,Negative
cathode Tv,old,Negative
wi · fi,free,Positive
wi · fi,with low signal,Negative
the guy at the reception,HYSTERICAL !!!,StrongNegative
the guy at the reception,extremely RUDE,StrongNegative
Room,very small,StrongNegative
walls,spiderweb on the,Negative
Staff,gentle enough,Positive
Wi · Fi in the room,no,Negative
manager,very bad,StrongNegative
rooms,very bad,StrongNegative
hotel experience,the worst,StrongNegative
hot water,no,Negative
experience,awful,StrongNegative
towels in the room,no,Negative
shower equipment,destroyed,Negative
the manager,didn 't care at all for the complaints,Negative
personnel,didn 't know the hotel restaurant / bar menu,Negative
service,Terrible,StrongNegative
The ground,hard,Negative
the expense,does not make up,Negative
lack of space,does not make up,Negative
it,walking distance of a wide variety of climbs,Positive
the location,redeeming feature if you are interested in climbing,Positive
the tent pegs,do not stay in,Negative
,Never again !,StrongNegative
This campsite,with some of the smallest pitches,Negative
This campsite,the most EXPENSIVE I have ever stayed at,StrongNegative
Check · in,quite slow,Negative
pool,Nice,Positive
restaurants around,Not so many,Negative
Spa services,too expensive,StrongNegative
Room,modern,Positive
Room,nice,Positive
,Too pollution in the surrounding streets,Negative
smell,terrible !,StrongNegative
smell,sewer,Negative
the welcome cocktail,good,Positive
the towels,really uncomfortable !,StrongNegative
the towels,collected ONLY in the ground floor,Negative
,Terrible stay !,StrongNegative
Hotel,really modern,StrongPositive
Hotel,minimal,Positive
,Lack of private space with sun beds on the front beach,Negative
It,moved out,Negative
It,so worse,Negative
room lock,brocken,Negative
room lock,were not sure,Negative
It,really Bad,StrongNegative
,Dirty.our,Negative
staff,really load,StrongNegative
staff,unfriendly,Negative
Thomsons,wouln 't use ever again,StrongNegative
tiling round toilet area,dirty,Negative
tiling round toilet area,black mould on tiling,Negative
bathroom door,rotten,Negative
bath,chipped,Negative
tea or coffee making facilities,no,Negative
bed cover,torn,Negative
bed cover,heavily stained,StrongNegative
TV,faulty,Negative
TV,very old,StrongNegative
room,Terrible,StrongNegative
,will not go back,Negative
bathroom basin,cracked,Negative
the room,very old,StrongNegative
the room,dirty,Negative
impression,Bad,Negative
price,best reason to choose Lord Byron hotel,Positive
location,best reason to choose Lord Byron hotel,Positive
It,"locate near Champ Elysee , Arc de Triump",Positive
It,very close to George 5 metro station.The,Positive
staff,very friendly,StrongPositive
distance from firenze,The only minus,Negative
Tuscan location,beautiful,Positive
to get there,need a car,Negative
,Relax and enjoy,Positive
hotel,great,StrongPositive
it,realy great,StrongPositive
,had to sit on towels,Negative
,odd stains on sofa,Negative
The location,in a great spot,StrongPositive
bed,collapses,Negative
the state of the flat,let it down,Negative
,Avoid,Negative
the money paid,not worth,Negative
toilet,leaking,Negative
,fist hole in bedroom door,Negative
the staff,fantastic,StrongPositive
hotel,best,StrongPositive
hotel,fantastic,StrongPositive
drinks,After breakfast no offered,Negative
meals,After breakfast no offered,Negative
Some staff,does not speak any English at all !!,StrongNegative
Rooms,recently refurbished,Positive
Rooms,not in acordance of today 's traveller,Negative
Bell staff,helpfull,Positive
Bell staff,very good,StrongPositive
TV,loud,Negative
Pool area,dated,Negative
dishes,Dirty,Negative
Lounge,very poor,StrongNegative
,Would expect much more,Negative
airport hotel,Expensive,Negative
shuttle bus to / from the airport,Free,Positive
fruit,no,Negative
Sheraton,Basic,Negative
Sheraton,below my expectations,Negative
firdge,empty,Negative
